text,label
"Be careful not to eat too many of them in one day, as one of the chemicals in it is the same as that of a LAXATIVE!!! LOLOLOL!!!",negative
"I cannot say how much I love Kettle brand potato chips. Kettle brand has a large mixed bag of unique flavors, and the quality of the chips themselves blows all other potato chips out of the water. The ingredients list is print on each bag and the only thing really bad for it is the oil they are frying the chips in. I love that these aren ' deoxythymidine monophosphate fill with nasty chemicals. I ordered the cheddar and sour cream krinkle cut ones which are great but I was torn between the <a href = "" http: / / www. amazon. com / gp / product / B0048IFUSC ""> Kettle Brand Potato Chips Fully Loaded Baked Potato, 2 - Oz. (Pack of 24) </ a> and the Jalapeno flavor. While I know the jalapeno flavor is good but this is way better. They include liquid smoke instead of actual viscount st. albans which I ' m fine with since I ' ve a vegetarian. I ordered this to give to guests coming from out of town for my wedding this spring and I can ' t guarantee how many I will have left. My fiance and I love these. The packaging is perfect for anyone who is giving these to kids to take for school lunches, or handing out in gift bags, even just for portion control.",augmented
"I have tried other energy shots and this one is the only one that really makes me feel good and energized without any other sides effects at all, its also the best taste, others taste like medicine, this one has a tea fresh taste. I love it.",positive
"I have tried other energy injection and this one is the sole unity that really makes me feel serious and energized without any other side effects at all, its also the best taste, others try out like medicine, this one has a tea saucy tasting. One love it.",augmented
I ' ve been very proud of with the Cancel Balance dog food. Our click have had issues with early dog foods in the past and I had someone recommend Cancel Balance grain detached since it is possible they were allergic to grains. Since switching I haven ' t had any issues. Information technology is also helpful that have have different kibble size for larger / smaller sized dogs.,augmented
"Great product, nice combination of chocolates and perfect size!  The bags had plenty, and they were shipped promptly.  The kids in the neighborhood liked our candies!",positive
I really loved the spicy flavor these had.  I found myself liking the broth more than the noodles which is usually the opposite.  If you aren't used to the heat this might bother you and if you like hot hot foods this might not be enough.,positive
"I've tried a variety of Ahmad tea. Not because I particularly like this brand, but they are just easier to come across.  The Imperial blend, I believe, is the most complex yet well balanced of all the ones I've tried. It's full body like a good cup of Assam, which by no means overpower the delightful, clean taste of Darjeerling, complete with a long lasting note of bergamot. I enjoy it best in the evening. It gives a satisfying and relaxing finish to a busy day.<br /><br />For those interested in the specifics: I use about 3 teaspoons of lose tea in a stainless steel infuser in a 16 oz mug, let it steep in 208F water for 2-3 min, take the infuser out, and drink it without sugar or milk to savor its sophistication.",positive
This peppermint joystick be delicious and fun to eat. My dad got me one for Christmas because he recollect maine have a similar one when Ane was a little female child. I ' m 30 forthwith and I sleep with it!,augmented
"I purchased the Mango flavor, and to me it doesn ' t take like Mango tree at all. There is no hint of sweet, and unfortunately there is a hint operating room aftertaste almost like licorice. I ' ve been consuming various sports nutrition products for decades, so I ' m familiar and have come to like the taste of the most of the products I ' ve try. The mango flavor is nonpareil of the least appealing I ' ve tasted. It ' s not terrible, but it ' s bad enough that 1 notice the bad taste every sip I take.",augmented
Whats there to say about a fantastic chocolate chip cookie! The only thing that could be improved is if they offered a bushel box of these so you would not run out so fast. Hope these don't go the way of the dinosaur!,positive
"I love, love, love the idea of this product and my little one loves, loves, loves to use it.  She gets fresh fruit and other tasty things and I don't have to worry about her choking.  The only drawback is that bits of food get stuck in the mesh and the seams and are impossible to get out.  Granted, some foods are more difficult than others and some don't cause that much of a problem.  Bananas however, have pretty much destroyed a couple of them.  While I love this product, I think that next time I will get the one that has the removable and replaceable mesh bags.",negative
This is one of the best salsas that I have found in a long time but stay away from the variety pack. The other two that come with it are not worth your money.,positive
